,Price,Address,Neighborhood,Bedrooms,Property_Type,Price_Scaled
156,320000,Onike Sabo Yaba Lagos,Yaba,1.0,mini,-0.20247936273853495
157,5500000,Magodo GRA Magodo Kosofe Ikosi Lagos,Kosofe,5.0,Duplex,0.26170322705120175
158,5000000,Oniru VI Lagos,VI,3.0,Unknown,0.2168979577664781
159,320000,Onike Sabo Yaba Lagos,Yaba,1.0,mini,-0.20247936273853495
160,600000,Pedro Palmgroove Shomolu Lagos,Shomolu,2.0,Flat,-0.17738841193908972
161,320000,Onike Sabo Yaba Lagos,Yaba,1.0,mini,-0.20247936273853495
162,20000,"Olu Koleosho Street, Off medical road, Obafemi Awolowo Way Ikeja Lagos",Ikeja,3.0,Unknown,-0.22936252430936913
163,150000,"Adekunle Fajuyi way, GRA Ikeja Gra Ikeja Lagos",Ikeja,3.0,Unknown,-0.21771315429534097
164,40000,"Adekunle Fajuyi way, Ikeja Gra Ikeja Lagos",Ikeja,3.0,Unknown,-0.22757031353798016
165,500000,Akoka Akoka Yaba Lagos,Yaba,2.0,Flat,-0.18634946579603445
166,3000000,Oniru Ademola Adetokunbo VI Lagos,VI,2.0,Flat,0.03767688062758365
167,300000,Mayfair Garden Estate Mayfair Garden Estate Awoyaya Ajah Lagos,Ajah,3.0,Unknown,-0.2042715735099239
168,200000,Bariga Bariga Shomolu Lagos,Bariga,1.0,mini,-0.2132326273668686
169,3500000,South West Awolowo Road Ikoyi Lagos,Ikoyi,3.0,Unknown,0.08248214991230726
170,700000, Off Ogunlana street Alapere Alapere Kosofe Ikosi Lagos,Alapere,2.0,Flat,-0.16842735808214498
171,900000,ADEDIRAN AJAO CRESCENT AJAO ESTATE Anthony Village Maryland Lagos,Maryland,3.0,Flat,-0.15050525036825554
172,2100000,21 Road Festac Town Lagos 2nd Avenue 21 Road Festac Amuwo-Odofin Lagos,Amuwo-Odofin,3.0,Duplex,-0.04297260408491887
173,850000,21 Road Extension Festac Town Amuwo-Odofin Festac Town Festac Amuwo-Odofin Lagos,Amuwo-Odofin,2.0,Flat,-0.1549857772967279
174,850000,21 Road Extension 2nd Avenue Festac Amuwo-Odofin Lagos,Amuwo-Odofin,3.0,Flat,-0.1549857772967279
175,1500000,21 Road Extension 2nd Avenue Festac Amuwo-Odofin Lagos,Amuwo-Odofin,5.0,Duplex,-0.09673892722658721
176,1900000,Chevyview Chevron Lekki Lagos,Lekki,3.0,Flat,-0.060894711798808315
177,2500000,sabo yabo Sabo Yaba Lagos,Yaba,3.0,Flat,-0.007128388657139971
178,7000000,by Dideolu Estate VI Lagos,VI,4.0,Flat,0.39611903490537265
179,3200000,Chevy Chevy view estate Chevron Lekki Lagos,Lekki,5.0,Duplex,0.055598988341473095
180,2500000,Kilo Marsha Surulere Lagos,Surulere,6.0,Duplex,-0.007128388657139971
181,4000000,Private estate in VI Private estate in VI VI Extension VI Lagos,VI,3.0,House,0.12728741919703088
182,500000,Ebun Street Off Herbert MacCauley street Abule Oja Yaba Lagos,Yaba,1.0,mini,-0.18634946579603445
